KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
383055|manuelramirez_texastech|manuelramirez_texastech_2002|3|2|1|0
383056|barakaatkins_miami|barakaatkins_miami_2002|3|2|1|0
383057|marcusthomas_florida|marcusthomas_florida_2003|3|2|1|0
383058|dougfree_northernillinois|dougfree_northernillinois_2002|3|2|1|0
383059|fredbennett_southcarolina|fredbennett_southcarolina_2002|3|2|1|0
383060|mansfieldwrotto_georgiatech|mansfieldwrotto_georgiatech_2003|3|2|1|0
383061|dashongoldson_washington|dashongoldson_washington_2004|3|2|1|0
383062|kareembrown_miami|kareembrown_miami_2002|3|2|1|0
383063|chrisdavis_floridastate|chrisdavis_floridastate_2002|3|2|1|0
383064|scottchandler_iowa|scottchandler_iowa_2003|3|2|1|0
383065|joshbeekman_bostoncollege|joshbeekman_bostoncollege_2002|3|2|1|0
383066|ryanmcbean_oklahomastate|ryanmcbean_oklahomastate_2005|3|2|1|0
383067|martrezmilner_georgia|martrezmilner_georgia_2002|3|2|1|0
383068|joecohen_florida|joecohen_florida_2003|3|2|1|0
383069|clintsession_pittsburgh|clintsession_pittsburgh_2003|3|2|1|0
383070|leronmcclain_alabama|leronmcclain_alabama_2003|3|2|1|0
383071|jayrichardson_ohiostate|jayrichardson_ohiostate_2002|3|2|1|0
383072|dustinfry_clemson|dustinfry_clemson_2002|3|2|1|0
383073|brandonmcdonald_memphis|brandonmcdonald_memphis_2005|3|2|1|0
383074|stevebreaston_michigan|stevebreaston_michigan_2002|3|2|1|0
383075|dallassartz_usc|dallassartz_usc_2002|3|2|1|0
383076|brandonharrison_stanford|brandonharrison_stanford_2003|3|2|1|0
383077|tarellbrown_texas|tarellbrown_texas_2003|3|2|1|0
383078|kolbysmith_louisville|kolbysmith_louisville_2003|3|2|1|0
383079|uchenwaneri_purdue|uchenwaneri_purdue_2002|3|2|1|0
383080|jeffrowe_nevada|jeffrowe_nevada_2002|3|2|1|0
383081|antoniojohnson_mississippistate|antoniojohnson_mississippistate_2005|3|2|1|0
383082|cliftonryan_michiganstate|cliftonryan_michiganstate_2002|3|2|1|0
383083|danterosario_oregon|danterosario_oregon_2003|3|2|1|0
383084|cameronstephenson_rutgers|cameronstephenson_rutgers_2004|3|2|1|0
383085|davidclowney_virginiatech|davidclowney_virginiatech_2003|3|2|1|0
383086|cjgaddis_clemson|cjgaddis_clemson_2003|3|2|1|0
383087|justinmedlock_ucla|justinmedlock_ucla_2002|3|2|1|0
383088|willherring_auburn|willherring_auburn_2002|3|2|1|0
383089|brentcelek_cincinnati|brentcelek_cincinnati_2003|3|2|1|0
383090|timshaw_pennstate|timshaw_pennstate_2002|3|2|1|0
383091|dereklandri_notredame|dereklandri_notredame_2002|3|2|1|0
383092|royhall_ohiostate|royhall_ohiostate_2002|3|2|1|0
383093|williamgay_louisville|williamgay_louisville_2003|3|2|1|0
383094|legedunaanee_boisestate|legedunaanee_boisestate_2002|3|2|1|0
383095|troysmith_ohiostate|troysmith_ohiostate_2002|3|2|1|0
383096|rufusalexander_oklahoma|rufusalexander_oklahoma_2002|3|2|1|0
383097|nickfolk_arizona|nickfolk_arizona_2002|3|2|1|0
383098|hbblades_pittsburgh|hbblades_pittsburgh_2003|3|2|1|0
383099|justinrogers_smu|justinrogers_smu_2002|3|2|1|0
383100|kaseystuddard_texas|kaseystuddard_texas_2002|3|2|1|0
383101|johnwendling_wyoming|johnwendling_wyoming_2002|3|2|1|0
383102|joelfilani_texastech|joelfilani_texastech_2002|3|2|1|0
383103|adamkoets_oregonstate|adamkoets_oregonstate_2002|3|2|1|0
383104|kenshackleford_georgia|kenshackleford_georgia_2003|3|2|1|0
383105|koreyhall_boisestate|koreyhall_boisestate_2002|3|2|1|0
383106|desmondbishop_california|desmondbishop_california_2005|3|2|1|0
383107|masoncrosby_colorado|masoncrosby_colorado_2003|3|2|1|0
383108|davidirons_auburn|davidirons_auburn_2004|3|2|1|0
383109|deonanderson_uconn|deonanderson_uconn_2002|3|2|1|0
383110|courtneytaylor_auburn|courtneytaylor_auburn_2002|3|2|1|0
383111|dougdatish_ohiostate|dougdatish_ohiostate_2002|3|2|1|0
383112|drewmormino_centralmichigan|drewmormino_centralmichigan_2002|3|2|1|0
383113|mikerichardson_notredame|mikerichardson_notredame_2002|3|2|1|0
383114|jordanpalmer_utep|jordanpalmer_utep_2002|3|2|1|0
383115|prescottburgess_michigan|prescottburgess_michigan_2003|3|2|1|0
383116|coreyhilliard_oklahomastate|coreyhilliard_oklahomastate_2003|3|2|1|0
383117|oscarlua_usc|oscarlua_usc_2002|3|2|1|0
383118|marvinmitchell_tennessee|marvinmitchell_tennessee_2002|3|2|1|0
383119|trumainemcbride_olemiss|trumainemcbride_olemiss_2003|3|2|1|0
383120|derekschouman_boisestate|derekschouman_boisestate_2003|3|2|1|0
383121|michaeljohnson_arizona|michaeljohnson_arizona_2005|3|2|1|0
383122|brandonfields_michiganstate|brandonfields_michiganstate_2002|3|2|1|0
383123|cjwilson_baylor|cjwilson_baylor_2003|3|2|1|0
383124|dallasbaker_florida|dallasbaker_florida_2002|3|2|1|0
383125|deshawnwynn_florida|deshawnwynn_florida_2002|3|2|1|0
383126|dansantucci_notredame|dansantucci_notredame_2002|3|2|1|0
383127|stevevallos_wakeforest|stevevallos_wakeforest_2002|3|2|1|0
383128|syndricsteptoe_arizona|syndricsteptoe_arizona_2003|3|2|1|0
383129|chansistuckey_clemson|chansistuckey_clemson_2002|3|2|1|0
383130|alanball_illinois|alanball_illinois_2003|3|2|1|0
383131|abrahamwright_colorado|abrahamwright_colorado_2004|3|2|1|0
383132|cjahyou_oklahoma|cjahyou_oklahoma_2005|3|2|1|0
383133|brandonsiler_florida|brandonsiler_florida_2004|3|2|1|0
383134|aaronbrant_iowastate|aaronbrant_iowastate_2003|3|2|1|0
383135|keyuntadawson_texastech|keyuntadawson_texastech_2003|3|2|1|0
383136|clarkharris_rutgers|clarkharris_rutgers_2002|3|2|1|0
383137|jasonsnelling_virginia|jasonsnelling_virginia_2002|3|2|1|0
383138|marcushamilton_virginia|marcushamilton_virginia_2002|3|2|1|0
383139|andrewcarnahan_arizonastate|andrewcarnahan_arizonastate_2002|3|2|1|0
383140|ramzeerobinson_alabama|ramzeerobinson_alabama_2002|3|2|1|0
383141|jakelong_michigan|jakelong_michigan_2003|3|2|1|0
383142|chrislong_virginia|chrislong_virginia_2004|3|2|1|0
383143|mattryan_bostoncollege|mattryan_bostoncollege_2003|3|2|1|0
383144|glenndorsey_lsu|glenndorsey_lsu_2004|3|2|1|0
383145|vernongholston_ohiostate|vernongholston_ohiostate_2004|3|2|1|0
383146|sedrickellis_usc|sedrickellis_usc_2003|3|2|1|0
383147|derrickharvey_florida|derrickharvey_florida_2004|3|2|1|0
383148|keithrivers_usc|keithrivers_usc_2004|3|2|1|0
383149|jerodmayo_tennessee|jerodmayo_tennessee_2004|3|2|1|0
383150|leodismckelvin_troy|leodismckelvin_troy_2004|3|2|1|0
383151|ryanclady_boisestate|ryanclady_boisestate_2004|3|2|1|0
383152|jonathanstewart_oregon|jonathanstewart_oregon_2005|3|2|1|0
383153|chriswilliams_vanderbilt|chriswilliams_vanderbilt_2003|3|2|1|0
383154|brandenalbert_virginia|brandenalbert_virginia_2005|3|2|1|0
383155|gosdercherilus_bostoncollege|gosdercherilus_bostoncollege_2003|3|2|1|0
383156|jeffotah_pittsburgh|jeffotah_pittsburgh_2006|3|2|1|0
383157|aqibtalib_kansas|aqibtalib_kansas_2004|3|2|1|0
383158|sambaker_usc|sambaker_usc_2003|3|2|1|0
383159|felixjones_arkansas|felixjones_arkansas_2005|3|2|1|0
383160|rashardmendenhall_illinois|rashardmendenhall_illinois_2005|3|2|1|0
383161|chrisjohnson_eastcarolina|chrisjohnson_eastcarolina_2004|3|2|1|0
383162|mikejenkins_southflorida|mikejenkins_southflorida_2003|3|2|1|0
383163|duanebrown_virginiatech|duanebrown_virginiatech_2003|3|2|1|0
383164|antoinecason_arizona|antoinecason_arizona_2004|3|2|1|0
383165|lawrencejackson_usc|lawrencejackson_usc_2003|3|2|1|0
383166|kentwanbalmer_northcarolina|kentwanbalmer_northcarolina_2004|3|2|1|0
383167|dustinkeller_purdue|dustinkeller_purdue_2003|3|2|1|0
383168|phillipmerling_clemson|phillipmerling_clemson_2005|3|2|1|0
383169|donnieavery_houston|donnieavery_houston_2003|3|2|1|0
383170|devinthomas_michiganstate|devinthomas_michiganstate_2006|3|2|1|0
383171|brandonflowers_virginiatech|brandonflowers_virginiatech_2004|3|2|1|0
383172|curtislofton_oklahoma|curtislofton_oklahoma_2005|3|2|1|0
383173|johncarlson_notredame|johncarlson_notredame_2003|3|2|1|0
383174|chilorachal_usc|chilorachal_usc_2004|3|2|1|0
383175|tracyporter_indiana|tracyporter_indiana_2004|3|2|1|0
383176|jameshardy_indiana|jameshardy_indiana_2004|3|2|1|0
383177|eddieroyal_virginiatech|eddieroyal_virginiatech_2004|3|2|1|0
383178|tyrelljohnson_arkansasstate|tyrelljohnson_arkansasstate_2003|3|2|1|0
383179|mattforte_tulane|mattforte_tulane_2004|3|2|1|0
383180|jeromesimpson_coastalcarolina|jeromesimpson_coastalcarolina_2004|3|2|1|0
383181|trevorlaws_notredame|trevorlaws_notredame_2003|3|2|1|0
383182|freddavis_usc|freddavis_usc_2004|3|2|1|0
383183|deseanjackson_california|deseanjackson_california_2005|3|2|1|0
383184|calaiscampbell_miami|calaiscampbell_miami_2004|3|2|1|0
383185|malcolmkelly_oklahoma|malcolmkelly_oklahoma_2005|3|2|1|0
383186|quentingroves_auburn|quentingroves_auburn_2003|3|2|1|0
383187|limassweed_texas|limassweed_texas_2003|3|2|1|0
383188|rayrice_rutgers|rayrice_rutgers_2005|3|2|1|0
383189|brianbrohm_louisville|brianbrohm_louisville_2004|3|2|1|0
383190|chadhenne_michigan|chadhenne_michigan_2004|3|2|1|0
383191|mikepollak_arizonastate|mikepollak_arizonastate_2003|3|2|1|0
383192|martellusbennett_texasam|martellusbennett_texasam_2005|3|2|1|0
383193|terrencewheatley_colorado|terrencewheatley_colorado_2003|3|2|1|0
383194|terrellthomas_usc|terrellthomas_usc_2003|3|2|1|0
383195|kevinsmith_centralflorida|kevinsmith_centralflorida_2005|3|2|1|0
383196|johngreco_toledo|johngreco_toledo_2003|3|2|1|0
383197|charlesgodfrey_iowa|charlesgodfrey_iowa_2004|3|2|1|0
383198|chevisjackson_lsu|chevisjackson_lsu_2004|3|2|1|0
383199|jacobhester_lsu|jacobhester_lsu_2004|3|2|1|0
383200|earlbennett_vanderbilt|earlbennett_vanderbilt_2005|3|2|1|0
