KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
473384|zachmarshall_maryland_2005|zachmarshall_maryland_2005|2|2|1|0
473385|mikemajette_indiana_2015|mikemajette_indiana_2015|2|2|1|0
473386|quincyenunwa_nebraska_2010|quincyenunwa_nebraska_2010|2|2|1|0
473387|keyroncatlett_purdue_2017|keyroncatlett_purdue_2017|2|2|1|0
473388|rakimjarrett_maryland_2020|rakimjarrett_maryland_2020|2|2|1|0
473389|dominickdantonio_northwestern_2019|dominickdantonio_northwestern_2019|2|2|1|0
473390|jeffbudzien_northwestern_2009|jeffbudzien_northwestern_2009|2|2|1|0
473391|jbfitzgerald_michigan_2008|jbfitzgerald_michigan_2008|2|2|1|0
473392|daevonrobinson_rutgers_2018|daevonrobinson_rutgers_2018|2|2|1|0
473393|bjtravers_iowa_2005|bjtravers_iowa_2005|2|2|1|0
473394|jamesryan_illinois_2003|jamesryan_illinois_2003|2|2|1|0
473395|otismerrill_wisconsin_2007|otismerrill_wisconsin_2007|2|2|1|0
473396|taiwandeal_wisconsin_2014|taiwandeal_wisconsin_2014|2|2|1|0
473397|jalenwattsjackson_michiganstate_2014|jalenwattsjackson_michiganstate_2014|2|2|1|0
473398|brockpasteur_nebraska_2005|brockpasteur_nebraska_2005|2|2|1|0
473399|mariogoins_wisconsin_2007|mariogoins_wisconsin_2007|2|2|1|0
473400|richardcouncil_indiana_2006|richardcouncil_indiana_2006|2|2|1|0
473401|jaohneduggan_rutgers_2017|jaohneduggan_rutgers_2017|2|2|1|0
473402|tatehallock_michiganstate_2019|tatehallock_michiganstate_2019|2|2|1|0
473403|nerrawmccormack_pennstate_2007|nerrawmccormack_pennstate_2007|2|2|1|0
473404|davidgrant_nebraska_2008|davidgrant_nebraska_2008|2|2|1|0
473405|isaacgifford_nebraska_2020|isaacgifford_nebraska_2020|2|2|1|0
473406|deontegibson_northwestern_2011|deontegibson_northwestern_2011|2|2|1|0
473407|jameswilliams_wisconsin_2019|jameswilliams_wisconsin_2019|2|2|1|0
473408|tacocharlton_michigan_2013|tacocharlton_michigan_2013|2|2|1|0
473409|lubernfigaro_wisconsin_2014|lubernfigaro_wisconsin_2014|2|2|1|0
473410|brandonroberson_northwestern_2004|brandonroberson_northwestern_2004|2|2|1|0
473411|billyprice_ohiostate_2013|billyprice_ohiostate_2013|2|2|1|0
473412|silvanoaltamirano_maryland_2013|silvanoaltamirano_maryland_2013|2|2|1|0
473413|saquonbarkley_pennstate_2015|saquonbarkley_pennstate_2015|2|2|1|0
473414|coleherdman_purdue_2014|coleherdman_purdue_2014|2|2|1|0
473415|nanaasiedu_pennstate_2018|nanaasiedu_pennstate_2018|2|2|1|0
473416|shanecarter_wisconsin_2005|shanecarter_wisconsin_2005|2|2|1|0
473417|justingilbert_maryland_2008|justingilbert_maryland_2008|2|2|1|0
473418|ryanrussell_purdue_2010|ryanrussell_purdue_2010|2|2|1|0
473419|duranjohnson_purdue_2002|duranjohnson_purdue_2002|2|2|1|0
473420|theoday_michiganstate_2018|theoday_michiganstate_2018|2|2|1|0
473421|collinellis_northwestern_2010|collinellis_northwestern_2010|2|2|1|0
473422|davidlong_michigan_2016|davidlong_michigan_2016|2|2|1|0
473423|kevinclaxton_wisconsin_2008|kevinclaxton_wisconsin_2008|2|2|1|0
473424|taylormartinez_nebraska_2009|taylormartinez_nebraska_2009|2|2|1|0
473425|jackwegher_purdue_2016|jackwegher_purdue_2016|2|2|1|0
473426|austinvier_iowa_2010|austinvier_iowa_2010|2|2|1|0
473427|jjguedet_minnesota_2019|jjguedet_minnesota_2019|2|2|1|0
473428|trentonguthrie_minnesota_2017|trentonguthrie_minnesota_2017|2|2|1|0
473429|davidkaminski_indiana_2011|davidkaminski_indiana_2011|2|2|1|0
473430|tommyschutt_ohiostate_2012|tommyschutt_ohiostate_2012|2|2|1|0
473431|enzojennings_pennstate_2020|enzojennings_pennstate_2020|2|2|1|0
473432|shanemertz_northwestern_2011|shanemertz_northwestern_2011|2|2|1|0
473433|davidbell_purdue_2019|davidbell_purdue_2019|2|2|1|0
473434|stephanbracey_wisconsin_2019|stephanbracey_wisconsin_2019|2|2|1|0
473435|colebrevard_pennstate_2020|colebrevard_pennstate_2020|2|2|1|0
473436|chrisfonti_rutgers_2010|chrisfonti_rutgers_2010|2|2|1|0
473437|kydranjenkins_purdue_2020|kydranjenkins_purdue_2020|2|2|1|0
473438|chrisauletta_pennstate_2002|chrisauletta_pennstate_2002|2|2|1|0
473439|mattlewis_indiana_2005|mattlewis_indiana_2005|2|2|1|0
473440|dariuskilgo_maryland_2010|dariuskilgo_maryland_2010|2|2|1|0
473441|alexreigelsperger_minnesota_2018|alexreigelsperger_minnesota_2018|2|2|1|0
473442|janariongrant_rutgers_2013|janariongrant_rutgers_2013|2|2|1|0
473443|mikelee_purdue_2010|mikelee_purdue_2010|2|2|1|0
473444|derronware_michiganstate_2002|derronware_michiganstate_2002|2|2|1|0
473445|brendonmoss_michiganstate_2005|brendonmoss_michiganstate_2005|2|2|1|0
473446|roderickgoodlow_northwestern_2009|roderickgoodlow_northwestern_2009|2|2|1|0
473447|jasondavis_illinois_2002|jasondavis_illinois_2002|2|2|1|0
473448|tyjonlindsey_nebraska_2017|tyjonlindsey_nebraska_2017|2|2|1|0
473449|boyemafe_minnesota_2017|boyemafe_minnesota_2017|2|2|1|0
473450|curtisdrake_pennstate_2009|curtisdrake_pennstate_2009|2|2|1|0
473451|brettgallimore_michigan_2004|brettgallimore_michigan_2004|2|2|1|0
473452|nathanscheelhaase_illinois_2009|nathanscheelhaase_illinois_2009|2|2|1|0
473453|milestaylor_iowa_2014|milestaylor_iowa_2014|2|2|1|0
473454|ryanskelton_indiana_2003|ryanskelton_indiana_2003|2|2|1|0
473455|bradleyjohnson_maryland_2009|bradleyjohnson_maryland_2009|2|2|1|0
473456|howardwatkins_illinois_2017|howardwatkins_illinois_2017|2|2|1|0
473457|josiahprice_michiganstate_2012|josiahprice_michiganstate_2012|2|2|1|0
473458|tayonfleetdavis_maryland_2017|tayonfleetdavis_maryland_2017|2|2|1|0
473459|jasonalford_pennstate_2002|jasonalford_pennstate_2002|2|2|1|0
473460|gerardjackson_illinois_2003|gerardjackson_illinois_2003|2|2|1|0
473461|levernjacobs_maryland_2012|levernjacobs_maryland_2012|2|2|1|0
473462|ericvandenheuvel_wisconsin_2005|ericvandenheuvel_wisconsin_2005|2|2|1|0
473463|davidwhitmore_nebraska_2008|davidwhitmore_nebraska_2008|2|2|1|0
473464|chadhoobler_ohiostate_2004|chadhoobler_ohiostate_2004|2|2|1|0
473465|bogreer_indiana_2002|bogreer_indiana_2002|2|2|1|0
473466|jordanrucker_purdue_2018|jordanrucker_purdue_2018|2|2|1|0
473467|jamaradams_michigan_2004|jamaradams_michigan_2004|2|2|1|0
473468|caultonray_michiganstate_2008|caultonray_michiganstate_2008|2|2|1|0
473469|scottchandler_iowa_2003|scottchandler_iowa_2003|2|2|1|0
473470|dancascone_wisconsin_2005|dancascone_wisconsin_2005|2|2|1|0
473471|stephenstjohn_maryland_2007|stephenstjohn_maryland_2007|2|2|1|0
473472|austinblythe_iowa_2011|austinblythe_iowa_2011|2|2|1|0
473473|antoniologanel_pennstate_2006|antoniologanel_pennstate_2006|2|2|1|0
473474|mattspaeth_minnesota_2002|mattspaeth_minnesota_2002|2|2|1|0
473475|devineredding_indiana_2014|devineredding_indiana_2014|2|2|1|0
473476|marquisblack_nebraska_2020|marquisblack_nebraska_2020|2|2|1|0
473477|derrickwilliams_pennstate_2005|derrickwilliams_pennstate_2005|2|2|1|0
473478|willietatum_minnesota_2010|willietatum_minnesota_2010|2|2|1|0
473479|anthonyfolkerts_rutgers_2015|anthonyfolkerts_rutgers_2015|2|2|1|0
473480|jrkraemer_illinois_2004|jrkraemer_illinois_2004|2|2|1|0
473481|nickhayden_wisconsin_2004|nickhayden_wisconsin_2004|2|2|1|0
473482|jaylinbradley_nebraska_2017|jaylinbradley_nebraska_2017|2|2|1|0
473483|markdell_michiganstate_2007|markdell_michiganstate_2007|2|2|1|0
473484|diontetaylor_illinois_2013|diontetaylor_illinois_2013|2|2|1|0
473485|khaliqprice_iowa_2003|khaliqprice_iowa_2003|2|2|1|0
473486|paulphillips_indiana_2010|paulphillips_indiana_2010|2|2|1|0
473487|lawrencebarnett_indiana_2009|lawrencebarnett_indiana_2009|2|2|1|0
473488|tannermcevoy_wisconsin_2013|tannermcevoy_wisconsin_2013|2|2|1|0
473489|devinburns_maryland_2010|devinburns_maryland_2010|2|2|1|0
473490|gareefglashen_rutgers_2010|gareefglashen_rutgers_2010|2|2|1|0
473491|geescottjr_ohiostate_2020|geescottjr_ohiostate_2020|2|2|1|0
473492|williamyancy_nebraska_2007|williamyancy_nebraska_2007|2|2|1|0
473493|roccocironi_michiganstate_2005|roccocironi_michiganstate_2005|2|2|1|0
473494|jarvisnewson_illinois_2004|jarvisnewson_illinois_2004|2|2|1|0
473495|carltonagudosi_rutgers_2012|carltonagudosi_rutgers_2012|2|2|1|0
473496|kaseygaines_pennstate_2013|kaseygaines_pennstate_2013|2|2|1|0
473497|malcolmrobinson_minnesota_2017|malcolmrobinson_minnesota_2017|2|2|1|0
473498|willisbarringer_michigan_2002|willisbarringer_michigan_2002|2|2|1|0
473499|kevinrouse_wisconsin_2007|kevinrouse_wisconsin_2007|2|2|1|0
473500|jakestoneburner_ohiostate_2008|jakestoneburner_ohiostate_2008|2|2|1|0
473501|granthaley_pennstate_2014|granthaley_pennstate_2014|2|2|1|0
473502|jaleeljohnson_iowa_2012|jaleeljohnson_iowa_2012|2|2|1|0
