247_index,rivals_index,ID,playerName,college,city,state,highSchool,position,year,sum
57,4314,0,0.8823529411764706,1.0,1.0,1,1.0,0,1,0.8403361344537815
58,4844,1,1.0,1.0,0.15384615384615385,1,1.0,0,1,0.7362637362637362
59,3806,1,1.0,1.0,1.0,1,0.8666666666666667,1,1,0.980952380952381
60,4001,0,0.1333333333333333,1.0,1.0,1,0.71875,0,1,0.6931547619047619
60,5854,0,0.5333333333333333,1.0,1.0,1,0.71875,0,1,0.750297619047619
61,4337,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
62,4003,1,1.0,1.0,1.0,1,1.0,1,1,1.0
63,367,0,0.7692307692307692,1.0,1.0,1,1.0,0,1,0.8241758241758241
64,3394,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
64,3568,0,0.2142857142857143,1.0,1.0,1,1.0,0,1,0.7448979591836735
65,3654,1,1.0,1.0,1.0,1,1.0,1,1,1.0
66,3376,0,0.875,1.0,1.0,1,1.0,0,1,0.8392857142857143
67,5015,1,1.0,1.0,1.0,1,0.9230769230769231,0,1,0.8461538461538461
68,4936,1,1.0,1.0,1.0,1,0.6129032258064516,1,1,0.9447004608294931
69,4845,1,1.0,1.0,1.0,1,0.5789473684210527,1,1,0.9398496240601505
70,3394,0,0.2142857142857143,1.0,1.0,1,1.0,0,1,0.7448979591836735
70,3568,1,1.0,1.0,1.0,1,1.0,1,1,1.0
71,4001,1,1.0,1.0,1.0,1,0.71875,1,1,0.9598214285714286
71,5854,0,0.06666666666666665,1.0,1.0,1,0.71875,0,1,0.6836309523809524
72,4045,0,0.1333333333333333,1.0,0.16666666666666663,1,0.2941176470588235,1,1,0.6563025210084034
72,5338,1,1.0,1.0,1.0,1,1.0,1,1,1.0
73,3868,1,1.0,1.0,0.19999999999999996,1,1.0,0,1,0.7428571428571429
74,4045,1,1.0,1.0,1.0,1,0.6875,1,1,0.9553571428571429
74,5338,0,0.1333333333333333,1.0,0.16666666666666663,1,0.4117647058823529,1,1,0.6731092436974789
75,5048,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
76,4979,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
77,1164,1,1.0,1.0,1.0,1,1.0,1,1,1.0
78,531,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
79,1710,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
80,1997,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
81,3953,1,1.0,1.0,1.0,1,0.5333333333333333,1,1,0.9333333333333333
82,1240,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
83,2593,1,1.0,1.0,1.0,1,1.0,1,1,1.0
84,2721,1,1.0,1.0,1.0,1,0.6153846153846154,1,1,0.945054945054945
