rivals_ID,0
luishernandez_indiana_2003,False
garrettnelson_nebraska_2019,False
nickpatterson_ohiostate_2004,False
andrewweininger_wisconsin_2003,False
sojournshelton_wisconsin_2013,False
rashedehageman_minnesota_2009,False
kokieft_minnesota_2016,False
sebastianjoseph_rutgers_2013,False
tyrektisdale_maryland_2016,False
jakechristensen_iowa_2005,False
brandonwhite_wisconsin_2002,False
trentgordon_pennstate_2018,False
jakefunk_maryland_2016,False
dariuslatham_indiana_2013,False
ryanshazier_ohiostate_2011,False
deonlong_maryland_2013,False
samficken_pennstate_2011,False
erniewheelwright_minnesota_2003,False
kevingladney_nebraska_2013,False
durrellclarkjames_minnesota_2007,False
jarrelldrane_indiana_2007,False
dennislandolt_pennstate_2005,False
christianizien_rutgers_2018,False
anthonymoeaki_iowa_2005,False
dariancooper_iowa_2011,False
fitzgeraldtoussaint_michigan_2009,False
donaldbedell_rutgers_2014,False
mikesadler_michiganstate_2010,False
spencerridenhour_pennstate_2004,False
ericmccollom_iowa_2003,False
adrianwitty_michigan_2009,False
chancecarter_northwestern_2010,False
jamarjones_michiganstate_2003,False
davemonnotiii_purdue_2019,False
glenlee_rutgers_2005,False
khalilbryant_indiana_2016,False
terrancelanders_purdue_2016,False
brendenjaimes_nebraska_2017,False
carrollphillips_illinois_2014,False
justinmusiek_rutgers_2002,False
paynehebert_northwestern_2018,False
robertkugler_purdue_2011,False
julianbarnett_michiganstate_2019,False
lamontwade_pennstate_2017,False
austindorris_indiana_2015,False
micahmcfadden_indiana_2018,False
jameshardy_indiana_2004,False
billivan_indiana_2010,False
tylerharrell_iowa_2009,False
calebterbush_purdue_2008,False
jaymoore_nebraska_2002,False
kendallsmith_illinois_2017,False
chandlerwhitmer_illinois_2010,False
evanhailes_pennstate_2010,False
bryanbrighton_michiganstate_2004,False
danetodd_nebraska_2002,False
austinhudson_wisconsin_2014,False
kaihiggins_purdue_2017,False
donniewoods_maryland_2003,False
masengokabongo_maryland_2008,False
drakeharris_michigan_2014,False
drakemartinez_michiganstate_2015,False
dwightmclean_purdue_2008,False
irvincharles_pennstate_2015,False
samhollenbach_maryland_2002,False
matthewramondo_michiganstate_2011,False
andersonrussell_ohiostate_2005,False
carltabb_michigan_2002,False
dougvandyke_purdue_2003,False
waynethomas_rutgers_2007,False
matthardison_rutgers_2006,False
brandonnixon_maryland_2003,False
corantaylor_illinois_2018,False
jacksonanthrop_purdue_2016,False
reggiesutton_rutgers_2018,False
desmondstapleton_rutgers_2007,False
