,247_index,school,year,playerName,highSchool,city,state,position,height,weight,compRating,compStars,nationalRank,positionRank,stateRank,247Rating,247Stars,247positionRank,247stateRank,displayName,ID,247nationalRank,confidence,rivalsrivals_index,rivalsschool,rivalsyear,rivalsplayerName,rivalscity,rivalsstate,rivalshighSchool,rivalsposition,rivalsheight,rivalsweight,rivalsstars,rivalsnationalRank,rivalspositionRank,rivalsstateRank,rivalsdisplayName,rivalsID,rivalsrawSchool
11,201,maryland,2018,kenmontgomeryjr,Hillsborough,Tampa,FL,CB,73.5,165,0.8918,4,359,33,65,,,,,Ken Montgomery Jr.,kenmontgomeryjr_maryland,,0.8380952380952381,273,maryland,2018,kenmontgomery,Tampa,FL,Hillsborough,ATH,74.0,165.0,3,,43.0,88.0,Ken Montgomery,kenmontgomery_maryland,
12,212,maryland,2018,dontaydemusjr,Friendship Academy,Washington,DC,WR,76.0,205,0.8581,3,865,131,9, 86  ,6.0,129,8,Dontay Demus Jr.,dontaydemusjr_maryland,,0.9238347859037515,3008,maryland,2018,dontaydemus,Washington,DC,Friendship Collegiate Academy,WR,76.0,195.0,3,,,10.0,Dontay Demus,dontaydemus_maryland,
13,245,illinois,2009,walteraikens,Harding University High,Charlotte,NC,ATH,0.0,0,0.7750,2,NA,123,47,  N/A  ,2.0,N/A,N/A,Walter Aikens,walteraikens_illinois,,0.9451345755693582,1072,illinois,2009,waltaikens,Charlotte,NC,Harding University,ATH,73.0,183.0,2,,,,Walt Aikens,waltaikens_illinois,
14,273,minnesota,2018,jamaalteague,Marist,Chicago,IL,DT,74.0,289,0.8797,3,492,33,6, 88  ,6.0,33,7,Jamaal Teague,jamaalteague_minnesota,,0.9404761904761905,1336,minnesota,2018,elijahteague,Chicago,IL,Marist,DT,75.0,292.0,3,,35.0,8.0,Elijah Teague,elijahteague_minnesota,
15,276,minnesota,2018,jornellbrooks,Mansfield,Mansfield,OH,WR,70.5,187,0.8655,3,713,112,31, 86  ,6.0,119,28,Jornell Brooks,jornellbrooks_minnesota,,0.945054945054945,3789,minnesota,2018,jornellmanns,Mansfield,OH,Mansfield,WR,72.0,185.0,3,,,35.0,Jornell Manns,jornellmanns_minnesota,
16,279,minnesota,2018,benjaminsappiii,Eden Prairie,Eden Prairie,MN,CB,72.5,183,0.8606,3,806,70,3, 87  ,6.0,50,2,Benjamin Sapp III,benjaminsappiii_minnesota,,0.8285714285714285,854,minnesota,2018,benjaminsapp,Eden Prairie,MN,Eden Prairie,DB,72.0,173.0,3,,,4.0,Benjamin Sapp,benjaminsapp_minnesota,
17,283,minnesota,2018,abinokonji,South Gwinnett,Snellville,GA,SDE,74.0,238,0.8540,3,961,47,89, 86  ,6.0,35,89,Abi N-Okonji,abinokonji_minnesota,,0.8428571428571429,4407,minnesota,2018,abiokonji,Snellville,GA,South Gwinnett,DE,75.0,240.0,3,,,98.0,Abi Okonji,abiokonji_minnesota,
18,310,iowa,2013,ajjones,South Oak Cliff,Dallas,TX,ATH,75.0,195,0.8159,3,NA,117,231, 87  ,6.0,45,95,A.J. Jones,ajjones_iowa,,0.8051948051948052,563,iowa,2013,anjeusjones,Dallas,TX,South Oak Cliff,WR,75.0,195.0,2,,,,Anjeus Jones,anjeusjones_iowa,
19,312,iowa,2013,mattvandeberg,Brandon Valley,Brandon,SD,WR,73.0,170,0.7845,2,NA,296,2, 73  ,4.0,361,2,Matt VandeBerg,mattvandeberg_iowa,,0.9732142857142857,669,iowa,2013,matthewvandeberg,Brandon,SD,Brandon Valley,WR,73.0,168.0,2,,,,Matthew VandeBerg,matthewvandeberg_iowa,
20,411,indiana,2003,benjarvusgreenellis,St. Augustine,New Orleans,LA,RB,73.0,220,0.7667,2,NA,73,65,  N/A  ,2.0,N/A,N/A,BenJarvus Green-Ellis,benjarvusgreenellis_indiana,,0.9624060150375939,2164,indiana,2003,benjarvusgreen,New Orleans,LA,St. Augustine,RB,73.0,220.0,2,,,,BenJarvus Green,benjarvusgreen_indiana,
21,424,purdue,2017,djedwards,Palm Beach Lakes,West Palm Beach,FL,WR,74.0,180,0.8509,3,821,119,111, 84  ,6.0,158,157,DJ Edwards,djedwards_purdue,,0.9375,3046,purdue,2017,djaundraeedwards,West Palm Beach,FL,Palm Beach Lakes,WR,74.0,180.0,3,,,,D'Jaundrae Edwards,djaundraeedwards_purdue,
22,431,purdue,2017,djwashington,Ballard,Louisville,KY,OT,77.0,275,0.8147,3,NA,167,11, 79  ,5.0,186,13,D.J. Washington,djwashington_purdue,,0.8125,1794,purdue,2017,deshonwashington,Louisville,KY,Ballard,OL,77.0,275.0,2,,,,DeShon Washington,deshonwashington_purdue,
23,434,purdue,2017,giovannireviere,McCallie School,Chattanooga,TN,SDE,78.0,245,0.8107,3,NA,88,44, 85  ,6.0,44,30,Giovanni Reviere,giovannireviere_purdue,,0.8035714285714286,87,purdue,2017,giovannihightowerreviere,Chattanooga,TN,McCallie School,DE,76.0,224.0,2,,,,Giovanni Hightower-Reviere,giovannihightowerreviere_purdue,
24,441,purdue,2017,corneljones,Miami Central,Miami,FL,ILB,74.0,225,0.7932,2,NA,102,349, 82  ,5.0,71,250,Cornel Jones,corneljones_purdue,,0.8452380952380951,5279,purdue,2017,cornelljones,Miami,FL,Miami Central,LB,74.0,225.0,2,,,,Cornell Jones,cornelljones_purdue,
25,444,purdue,2017,kennethmajor,Christian County,Hopkinsville,KY,ATH,72.0,185,0.7682,2,NA,234,27, 75  ,4.0,224,23,Kenneth Major,kennethmajor_purdue,,0.879120879120879,1208,purdue,2017,keyroncatlett,Hopkinsville,KY,Christian County,ATH,70.0,180.0,2,,,,Keyron Catlett,keyroncatlett_purdue,
26,473,michigan,2019,chrishinton,Greater Atlanta Christian School,Norcross,GA,DT,76.0,280,0.9867,5,31,4,7, 96  ,9.0,4,8,Chris Hinton,chrishinton_michigan,47,0.9183298319327731,2205,michigan,2019,christopherhinton,Norcross,GA,Greater Atlanta Christian,DT,77.0,285.0,5,15.0,2.0,3.0,Christopher Hinton,christopherhinton_michigan,
27,542,michiganstate,2015,ljscott,Hubbard,Hubbard,OH,RB,74.0,228,0.9725,4,60,6,2, 96  ,8.0,7,4,LJ Scott,ljscott_michiganstate,78,0.9428571428571428,2661,michiganstate,2015,larryscott,Hubbard,OH,Hubbard,RB,73.0,215.0,4,57.0,6.0,3.0,Larry Scott,larryscott_michiganstate,
28,553,michiganstate,2015,feltondavisiii,Highland Springs,Highland Springs,VA,WR,75.0,175,0.8717,3,482,61,18, 92  ,7.0,22,10,Felton Davis III,feltondavisiii_michiganstate,217,0.9693877551020408,1809,michiganstate,2015,feltondavis,Highland Springs,VA,Highland Springs,WR,76.0,172.0,3,,55.0,16.0,Felton Davis,feltondavis_michiganstate,
29,576,indiana,2015,jameelcookjr,Ridge Point,Missouri City,TX,S,72.0,181,0.8326,3,NA,101,164, 83  ,6.0,100,157,Jameel Cook Jr.,jameelcookjr_indiana,,0.8333333333333334,4923,indiana,2015,jameelcook,Missouri City,TX,Ridge Point,DB,73.0,190.0,2,,,,Jameel Cook,jameelcook_indiana,
30,580,indiana,2015,andrebrownjr,Columbia,Decatur,GA,DUAL,72.0,187,0.8281,3,NA,34,149, 79  ,5.0,54,192,Andre Brown Jr.,andrebrownjr_indiana,,0.8333333333333334,2856,indiana,2015,andrebrown,Decatur,GA,Columbia,ATH,72.0,191.0,2,,,,Andre Brown,andrebrown_indiana,
31,717,minnesota,2014,melvinholland,Briar Woods,Ashburn,VA,WR,75.0,205,0.8601,3,603,84,23, 88  ,6.0,77,20,Melvin Holland,melvinholland_minnesota,,0.980952380952381,5312,minnesota,2014,melvinhollandjr,Ashburn,VA,Briar Woods,WR,75.0,190.0,3,,,29.0,Melvin Holland Jr.,melvinhollandjr_minnesota,
