,sourceID,targetID,IDYR,PlayerName,City,State,HighSchool,Position,Year,sum
"('kennethwalker_ucla_2012', 'kennethwalkeriii_ucla_2012')",kennethwalker_ucla_2012,kennethwalkeriii_ucla_2012,0,0.8125,1.0,1,0.1428571428571429,0.25,0.25,0.49362244897959184
"('larryjoubert_newmexico_2017', 'sammybenard_newmexico_2017')",larryjoubert_newmexico_2017,sammybenard_newmexico_2017,0,0.25,1.0,1,1.0,0.0,0.25,0.5
"('lavellehawkins_california_2005', 'josephayoob_california_2005')",lavellehawkins_california_2005,josephayoob_california_2005,0,0.2142857142857143,1.0,1,1.0,0.0,0.25,0.49489795918367346
"('malcolmmagee_coloradostate_2018', 'malcolmmageejr_coloradostate_2018')",malcolmmagee_coloradostate_2018,malcolmmageejr_coloradostate_2018,0,0.8571428571428572,0.07692307692307687,1,1.0,0.25,0.25,0.4905808477237049
"('marcussmith_texastech_2004', 'lareed_texastech_2004')",marcussmith_texastech_2004,lareed_texastech_2004,0,0.18181818181818177,1.0,1,1.0,0.0,0.25,0.49025974025974023
"('masonhays_texasstate_2017', 'samiawad_texasstate_2017')",masonhays_texasstate_2017,samiawad_texasstate_2017,0,0.2222222222222222,1.0,1,1.0,0.0,0.25,0.49603174603174605
"('matthewadams_navy_2008', 'thomasbatchelder_navy_2008')",matthewadams_navy_2008,thomasbatchelder_navy_2008,0,0.25,1.0,1,1.0,0.0,0.25,0.5
"('mecolehardmanjr_georgia_2016', 'mecolehardman_georgia_2016')",mecolehardmanjr_georgia_2016,mecolehardman_georgia_2016,0,0.8666666666666667,0.125,1,1.0,0.25,0.25,0.4988095238095238
"('melvinalaeze_maryland_2006', 'morgangreen_maryland_2006')",melvinalaeze_maryland_2006,morgangreen_maryland_2006,0,0.25,1.0,1,1.0,0.0,0.25,0.5
"('melvindavis_washington_2010', 'seanparker_washington_2010')",melvindavis_washington_2010,seanparker_washington_2010,0,0.18181818181818177,1.0,1,1.0,0.0,0.25,0.49025974025974023
"('michaelperri_oregonstate_2004', 'patrickfuller_oregonstate_2004')",michaelperri_oregonstate_2004,patrickfuller_oregonstate_2004,0,0.23076923076923073,1.0,1,1.0,0.0,0.25,0.49725274725274726
"('mitchmustain_arkansas_2006', 'damianwilliams_arkansas_2006')",mitchmustain_arkansas_2006,damianwilliams_arkansas_2006,0,0.2142857142857143,1.0,1,1.0,0.0,0.25,0.49489795918367346
"('philliptaylor_pennstate_2006', 'philtaylor_pennstate_2006')",philliptaylor_pennstate_2006,philtaylor_pennstate_2006,0,0.7692307692307692,0.19999999999999996,1,1.0,0.25,0.25,0.4956043956043956
"('princematt_floridainternational_2011', 'mattprince_floridainternational_2011')",princematt_floridainternational_2011,mattprince_floridainternational_2011,0,0.19999999999999996,1.0,1,1.0,0.0,0.25,0.4928571428571429
"('quentinhardy_navy_2015', 'charliedavidson_navy_2015')",quentinhardy_navy_2015,charliedavidson_navy_2015,0,0.19999999999999996,1.0,1,1.0,0.0,0.25,0.4928571428571429
"('rammelllewis_westernkentucky_2008', 'quanterussmith_westernkentucky_2008')",rammelllewis_westernkentucky_2008,quanterussmith_westernkentucky_2008,0,0.2142857142857143,1.0,1,1.0,0.0,0.25,0.49489795918367346
"('raydominguez_arkansas_2006', 'malcolmsheppard_arkansas_2006')",raydominguez_arkansas_2006,malcolmsheppard_arkansas_2006,0,0.19999999999999996,1.0,1,1.0,0.0,0.25,0.4928571428571429
"('rdwegman_northtexas_2015', 'rdwegmann_northtexas_2015')",rdwegman_northtexas_2015,rdwegmann_northtexas_2015,0,0.8888888888888888,1.0,1,0.07692307692307687,0.25,0.25,0.49511599511599513
"('rodneybrisbon_houston_2007', 'tramainewilliams_houston_2007')",rodneybrisbon_houston_2007,tramainewilliams_houston_2007,0,0.1875,1.0,1,1.0,0.0,0.25,0.49107142857142855
"('rooseveltappleton_houston_2014', 'joealwilliams_houston_2014')",rooseveltappleton_houston_2014,joealwilliams_houston_2014,0,0.23529411764705888,1.0,1,1.0,0.0,0.25,0.49789915966386555
"('ryanwilliams_memphis_2004', 'brandonpearce_memphis_2004')",ryanwilliams_memphis_2004,brandonpearce_memphis_2004,0,0.23076923076923073,1.0,1,1.0,0.0,0.25,0.49725274725274726
"('samuelobiang_texasstate_2020', 'russellbaker_texasstate_2020')",samuelobiang_texasstate_2020,russellbaker_texasstate_2020,0,0.25,1.0,1,1.0,0.0,0.25,0.5
"('stevenmaharjr_syracuse_2020', 'stevenmahar_syracuse_2020')",stevenmaharjr_syracuse_2020,stevenmahar_syracuse_2020,0,0.8461538461538461,1.0,1,0.11764705882352944,0.25,0.25,0.49482870071105367
"('sydielondon_tulane_2012', 'lorenzodoss_tulane_2012')",sydielondon_tulane_2012,lorenzodoss_tulane_2012,0,0.18181818181818177,1.0,1,1.0,0.0,0.25,0.49025974025974023
"('tazwilson_alabamabirmingham_2014', 'collinlisa_alabamabirmingham_2014')",tazwilson_alabamabirmingham_2014,collinlisa_alabamabirmingham_2014,0,0.19999999999999996,1.0,1,1.0,0.0,0.25,0.4928571428571429
"('timward_troy_2007', 'kennardburton_troy_2007')",timward_troy_2007,kennardburton_troy_2007,0,0.23076923076923073,1.0,1,1.0,0.0,0.25,0.49725274725274726
"('valentinocoleman_kansasstate_2013', 'natejackson_kansasstate_2013')",valentinocoleman_kansasstate_2013,natejackson_kansasstate_2013,0,0.25,1.0,1,1.0,0.0,0.25,0.5
"('wesbankston_texas_2002', 'justinblalock_texas_2002')",wesbankston_texas_2002,justinblalock_texas_2002,0,0.23076923076923073,1.0,1,1.0,0.0,0.25,0.49725274725274726
"('xavierdye_clemson_2007', 'stanleyhunter_clemson_2007')",xavierdye_clemson_2007,stanleyhunter_clemson_2007,0,0.23076923076923073,1.0,1,1.0,0.0,0.25,0.49725274725274726
