,sourceID,targetID,PlayerName,StandardizedPosition,KeyPositionGroup,Year,Sum
"('alonzoharris_louisianalafayette', 'alonzoharris_louisiana_2011')",alonzoharris_louisianalafayette,alonzoharris_louisiana_2011,1.0,1,1,1.0,1.0
"('alriles_louisiana', 'andrelewis_utah_2013')",alriles_louisiana,andrelewis_utah_2013,0.5,1,1,1.0,0.875
"('ambaettatawo_syracuse', 'ambaettatawo_maryland_2012')",ambaettatawo_syracuse,ambaettatawo_maryland_2012,1.0,1,1,1.0,1.0
"('amechiuzodinma_ballstate', 'mekhilapointe_southflorida_2017')",amechiuzodinma_ballstate,mekhilapointe_southflorida_2017,0.4285714285714286,1,1,1.0,0.8571428571428572
"('andredillard_washingtonstate', 'camerondillard_florida_2013')",andredillard_washingtonstate,camerondillard_florida_2013,0.6428571428571428,1,1,1.0,0.9107142857142857
"('andrefrazier_cincinnati', 'lancecarson_oklahomastate_2002')",andrefrazier_cincinnati,lancecarson_oklahomastate_2002,0.25,1,1,1.0,0.8125
"('andrehuval_louisianalafayette', 'andrehuval_louisiana_2010')",andrehuval_louisianalafayette,andrehuval_louisiana_2010,1.0,1,1,1.0,1.0
"('andrewgantz_cincinnati', 'andreheidari_usc_2011')",andrewgantz_cincinnati,andreheidari_usc_2011,0.41666666666666663,1,1,1.0,0.8541666666666666
"('andrewrich_byu', 'geneanderson_southernmississippi_2007')",andrewrich_byu,geneanderson_southernmississippi_2007,0.25,1,1,1.0,0.8125
"('andykwon_georgiasouthern', 'andrewbohan_akron_2011')",andykwon_georgiasouthern,andrewbohan_akron_2011,0.5454545454545454,1,1,1.0,0.8863636363636364
"('anthonyallen_georgiatech', 'joshhaden_bostoncollege_2008')",anthonyallen_georgiatech,joshhaden_bostoncollege_2008,0.33333333333333337,1,1,1.0,0.8333333333333334
"('anthonyamos_middletennesseestate', 'anthonycreecy_northcarolinastate_2010')",anthonyamos_middletennesseestate,anthonycreecy_northcarolinastate_2010,0.5384615384615384,1,1,1.0,0.8846153846153846
"('anthonyekpe_ballstate', 'anthonymckee_pittsburgh_2015')",anthonyekpe_ballstate,anthonymckee_pittsburgh_2015,0.75,1,1,1.0,0.9375
"('anthonygordon_washingtonstate', 'anthonybrown_bostoncollege_2016')",anthonygordon_washingtonstate,anthonybrown_bostoncollege_2016,0.6923076923076923,1,1,1.0,0.9230769230769231
"('anthonykent_kentstate', 'johnnytownsend_florida_2013')",anthonykent_kentstate,johnnytownsend_florida_2013,0.2857142857142857,1,1,1.0,0.8214285714285714
"('anthonymiller_memphis', 'anthonycooper_virginia_2012')",anthonymiller_memphis,anthonycooper_virginia_2012,0.6923076923076923,1,1,1.0,0.9230769230769231
"('anthonywright_airforce', 'jonathanharris_sanjosestate_2007')",anthonywright_airforce,jonathanharris_sanjosestate_2007,0.2857142857142857,1,1,1.0,0.8214285714285714
"('antoniogarcia_troy', 'tonygarcia_troy_2012')",antoniogarcia_troy,tonygarcia_troy_2012,0.6923076923076923,1,1,1.0,0.9230769230769231
"('antoniogillespie_troy', 'junioralexis_miami_2011')",antoniogillespie_troy,junioralexis_miami_2011,0.375,1,1,1.0,0.84375
"('antonioglover_georgiasouthern', 'antonioallen_indiana_2013')",antonioglover_georgiasouthern,antonioallen_indiana_2013,0.6923076923076923,1,1,1.0,0.9230769230769231
