,sourceID,targetID,PlayerName,StandardizedPosition,KeyPositionGroup,Year,sum
"('robertmervin_utep', 'robertmartin_pennstate_2017')",robertmervin_utep,robertmartin_pennstate_2017,0.8333333333333334,1,1,1.0,0.9583333333333334
"('ronaldwilliamsjr_alabama', 'donaldwilliams_rutgers_2019')",ronaldwilliamsjr_alabama,donaldwilliams_rutgers_2019,0.8125,1,1,1.0,0.953125
"('ronniewalkerjr_virginia', 'ronniewalker_indiana_2018')",ronniewalkerjr_virginia,ronniewalker_indiana_2018,0.8571428571428572,1,1,1.0,0.9642857142857143
"('rubenflowersiii_pittsburgh', 'rubenflowers_pittsburgh_2016')",rubenflowersiii_pittsburgh,rubenflowers_pittsburgh_2016,0.8,1,1,1.0,0.95
"('ryanpollard_rice', 'ryandillard_usc_2012')",ryanpollard_rice,ryandillard_usc_2012,0.8181818181818181,1,1,1.0,0.9545454545454546
"('ryanrobinson_southalabama', 'quanrobinson_kentstate_2014')",ryanrobinson_southalabama,quanrobinson_kentstate_2014,0.8333333333333334,1,1,1.0,0.9583333333333334
"('ryanthompson_tulane', 'bryanthompson_utah_2017')",ryanthompson_tulane,bryanthompson_utah_2017,0.9230769230769231,1,1,1.0,0.9807692307692308
"('samcrawfordjr_tulsa', 'samcrawford_tulsa_2017')",samcrawfordjr_tulsa,samcrawford_tulsa_2017,0.8461538461538461,1,1,1.0,0.9615384615384616
"('samgirodat_easternmichigan', 'samgirodot_easternmichigan_2015')",samgirodat_easternmichigan,samgirodot_easternmichigan_2015,0.9,1,1,1.0,0.975
"('sammielongiv_coloradostate', 'sammielong_coloradostate_2013')",sammielongiv_coloradostate,sammielong_coloradostate_2013,0.8333333333333334,1,1,1.0,0.9583333333333334
"('savionsmith_alabama', 'saivionsmith_lsu_2016')",savionsmith_alabama,saivionsmith_lsu_2016,0.9166666666666666,1,1,1.0,0.9791666666666666
"('seancarter_olddominion', 'ryancarter_clemson_2013')",seancarter_olddominion,ryancarter_clemson_2013,0.8,1,1,1.0,0.95
"('seancarter_utahstate', 'keseancarter_texastech_2018')",seancarter_utahstate,keseancarter_texastech_2018,0.8333333333333334,1,1,1.0,0.9583333333333334
"('seanshaw_iowastate', 'seanshawjr_iowastate_2018')",seanshaw_iowastate,seanshawjr_iowastate_2018,0.8,1,1,1.0,0.95
"('srthomasishman_buffalo', 'raythomasishman_massachusetts_2016')",srthomasishman_buffalo,raythomasishman_massachusetts_2016,0.8,1,1,1.0,0.95
"('stephenbracey_wisconsin', 'stephanbracey_wisconsin_2019')",stephenbracey_wisconsin,stephanbracey_wisconsin_2019,0.9230769230769231,1,1,1.0,0.9807692307692308
"('stevesatchell_navy', 'stephensatchell_navy_2014')",stevesatchell_navy,stephensatchell_navy_2014,0.8,1,1,1.0,0.95
"('tajewilliams_oklahomastate', 'tajwilliams_tcu_2016')",tajewilliams_oklahomastate,tajwilliams_tcu_2016,0.9166666666666666,1,1,1.0,0.9791666666666666
"('tarianlee_texasam', 'tarianleejr_texasam_2019')",tarianlee_texasam,tarianleejr_texasam_2019,0.8181818181818181,1,1,1.0,0.9545454545454546
"('tatehaynes_louisville', 'taehayes_appalachianstate_2015')",tatehaynes_louisville,taehayes_appalachianstate_2015,0.8,1,1,1.0,0.95
"('terrellrichardson_eastcarolina', 'terryrichardson_michigan_2012')",terrellrichardson_eastcarolina,terryrichardson_michigan_2012,0.8235294117647058,1,1,1.0,0.9558823529411764
"('terrywilsonjr_kentucky', 'terrywilson_oregon_2016')",terrywilsonjr_kentucky,terrywilson_oregon_2016,0.8461538461538461,1,1,1.0,0.9615384615384616
"('timbyerly_georgiatech', 'timmybyerly_middletennesseestate_2011')",timbyerly_georgiatech,timmybyerly_middletennesseestate_2011,0.8181818181818181,1,1,1.0,0.9545454545454546
"('timwilsonjr_sandiegostate', 'timwilson_sandiegostate_2016')",timwilsonjr_sandiegostate,timwilson_sandiegostate_2016,0.8181818181818181,1,1,1.0,0.9545454545454546
"('tjharris_troy', 'ajharris_olemiss_2017')",tjharris_troy,ajharris_olemiss_2017,0.875,1,1,1.0,0.96875
"('tjjohnson_cincinnati', 'ojjohnson_middletennesseestate_2017')",tjjohnson_cincinnati,ojjohnson_middletennesseestate_2017,0.8888888888888888,1,1,1.0,0.9722222222222222
"('tjjohnson_marshall', 'cjjohnson_kentucky_2014')",tjjohnson_marshall,cjjohnson_kentucky_2014,0.8888888888888888,1,1,1.0,0.9722222222222222
"('toddsibleyjr_pittsburgh', 'toddsibley_pittsburgh_2017')",toddsibleyjr_pittsburgh,toddsibley_pittsburgh_2017,0.8333333333333334,1,1,1.0,0.9583333333333334
"('tommyarmstrongjr_northwestern', 'tommyarmstrong_nebraska_2012')",tommyarmstrongjr_northwestern,tommyarmstrong_nebraska_2012,0.875,1,1,1.0,0.96875
"('tquanrobinson_southalabama', 'quanrobinson_kentstate_2014')",tquanrobinson_southalabama,quanrobinson_kentstate_2014,0.9230769230769231,1,1,1.0,0.9807692307692308
"('travonwilliams_temple', 'trevorwilliams_pennstate_2012')",travonwilliams_temple,trevorwilliams_pennstate_2012,0.8571428571428572,1,1,1.0,0.9642857142857143
"('trenttrammell_utep', 'trentontrammell_byu_2013')",trenttrammell_utep,trentontrammell_byu_2013,0.8666666666666667,1,1,1.0,0.9666666666666667
"('trevonrichardson_akron', 'tavinrichardson_kentucky_2015')",trevonrichardson_akron,tavinrichardson_kentucky_2015,0.8125,1,1,1.0,0.953125
"('trevorbaker_utsa', 'trevorwalker_washington_2013')",trevorbaker_utsa,trevorwalker_washington_2013,0.8333333333333334,1,1,1.0,0.9583333333333334
"('troyhenderson_syracuse', 'troyhendersonjr_syracuse_2015')",troyhenderson_syracuse,troyhendersonjr_syracuse_2015,0.8666666666666667,1,1,1.0,0.9666666666666667
"('trènixon_olemiss', 'trenixon_olemiss_2016')",trènixon_olemiss,trenixon_olemiss_2016,0.875,1,1,1.0,0.96875
"('tylercarr_texastech', 'tylerclark_georgia_2016')",tylercarr_texastech,tylerclark_georgia_2016,0.8,1,1,1.0,0.95
"('tylercarter_auburn', 'tylerporter_louisianatech_2011')",tylercarter_auburn,tylerporter_louisianatech_2011,0.8181818181818181,1,1,1.0,0.9545454545454546
"('tylerdays_louisville', 'tylerhayes_massachusetts_2017')",tylerdays_louisville,tylerhayes_massachusetts_2017,0.8,1,1,1.0,0.95
"('tylermurphy_miami', 'tylermurray_troy_2017')",tylermurphy_miami,tylermurray_troy_2017,0.8181818181818181,1,1,1.0,0.9545454545454546
"('tylerrobinson_texasstate', 'taylorrobinson_northtexas_2015')",tylerrobinson_texasstate,taylorrobinson_northtexas_2015,0.8571428571428572,1,1,1.0,0.9642857142857143
"('tylerthurman_middletennesseestate', 'tylerthurmond_westvirginia_2017')",tylerthurman_middletennesseestate,tylerthurmond_westvirginia_2017,0.8461538461538461,1,1,1.0,0.9615384615384616
"('uzoosuji_boisestate', 'uzomaosuji_rice_2016')",uzoosuji_boisestate,uzomaosuji_rice_2016,0.8,1,1,1.0,0.95
"('uzoosuji_rice', 'uzomaosuji_rice_2016')",uzoosuji_rice,uzomaosuji_rice_2016,0.8,1,1,1.0,0.95
"('vincehughes_northernillinois', 'vincenthughes_northernillinois_2015')",vincehughes_northernillinois,vincenthughes_northernillinois_2015,0.8461538461538461,1,1,1.0,0.9615384615384616
"('westonsmith_charlotte', 'alstonsmith_virginiatech_2012')",westonsmith_charlotte,alstonsmith_virginiatech_2012,0.8181818181818181,1,1,1.0,0.9545454545454546
"('willstricklinii_sandiegostate', 'willstricklin_sandiegostate_2016')",willstricklinii_sandiegostate,willstricklin_sandiegostate_2016,0.8666666666666667,1,1,1.0,0.9666666666666667
"('willtuihalamaka_floridaatlantic', 'williamtuihalamaka_sandiegostate_2015')",willtuihalamaka_floridaatlantic,williamtuihalamaka_sandiegostate_2015,0.8333333333333334,1,1,1.0,0.9583333333333334
"('zackaryleininger_akron', 'zackleininger_marshall_2019')",zackaryleininger_akron,zackleininger_marshall_2019,0.8125,1,1,1.0,0.953125
"('zackcollins_memphis', 'zachcollins_memphis_2013')",zackcollins_memphis,zachcollins_memphis_2013,0.9090909090909091,1,1,1.0,0.9772727272727273
"('zackgolditch_coloradostate', 'zachgolditch_coloradostate_2013')",zackgolditch_coloradostate,zachgolditch_coloradostate_2013,0.9166666666666666,1,1,1.0,0.9791666666666666
"('zacricketts_ballstate', 'zachricketts_ballstate_2015')",zacricketts_ballstate,zachricketts_ballstate_2015,0.9166666666666666,1,1,1.0,0.9791666666666666
